Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
13160,0.23,Ideal,H,VS1,61.2,55.0,3.94,3.97,2.42,423
6612,1.02,Ideal,H,SI1,61.7,57.0,6.45,6.48,3.99,5047
15452,0.74,Very Good,I,VS2,60.9,56.0,5.83,5.86,3.56,2459
14406,1.62,Ideal,H,SI2,61.8,54.0,7.55,7.6,4.68,8865
3974,0.7,Good,F,SI2,64.1,59.0,5.53,5.58,3.56,2390
15537,0.3,Ideal,D,VS2,61.4,55.0,4.34,4.32,2.66,911
6578,2.0,Ideal,H,SI1,62.9,56.0,8.06,7.97,5.04,13320
4458,0.7,Premium,E,VVS1,61.7,59.0,5.71,5.67,3.51,3294
16042,0.42,Premium,G,VS2,59.8,58.0,4.86,4.9,2.92,847
4563,1.52,Premium,D,SI2,59.2,62.0,7.51,7.46,4.43,10291
20554,1.17,Good,H,SI2,63.8,58.0,6.73,6.57,4.24,4914
16052,0.46,Ideal,I,VS1,62.2,54.0,4.95,4.99,3.09,906
17805,0.71,Very Good,F,SI2,62.8,58.0,5.63,5.7,3.56,2147
20624,0.4,Premium,F,VS1,61.9,59.0,4.7,4.67,2.9,1050
6971,1.51,Good,J,VS2,62.8,59.0,7.17,7.2,4.51,7418
23069,0.43,Very Good,G,VS1,60.9,57.0,4.88,4.91,2.98,943
24599,0.91,Good,H,VS2,63.8,59.0,5.99,5.96,3.82,3192
7681,0.52,Very Good,F,SI2,57.9,61.0,5.28,5.33,3.07,1273
4700,0.3,Ideal,E,VVS2,62.3,54.1,4.28,4.34,2.69,779
18541,1.0,Fair,D,VVS2,61.1,57.0,6.37,6.3,3.87,10562
18462,0.58,Very Good,E,SI1,63.1,56.0,5.36,5.32,3.37,1641
21600,1.09,Ideal,I,VS2,61.8,57.0,6.55,6.59,4.06,5904
14429,0.43,Very Good,G,SI1,58.9,60.0,4.94,4.97,2.92,774
4584,1.08,Ideal,D,SI2,61.6,57.0,6.58,6.62,4.07,5256
19792,0.71,Very Good,G,SI1,61.6,61.0,5.7,5.72,3.52,2515
5680,0.38,Very Good,H,VS2,60.6,58.0,4.68,4.7,2.84,700
23676,0.3,Ideal,I,SI2,62.4,54.0,4.32,4.34,2.7,367
13982,1.29,Ideal,H,SI1,63.2,57.0,6.89,6.96,4.38,6760
3396,0.83,Premium,F,SI2,61.4,59.0,6.08,6.04,3.72,2840
20826,0.31,Good,E,VS2,63.4,55.0,4.32,4.35,2.75,544
9128,1.08,Ideal,D,SI1,60.3,57.0,6.68,6.71,4.04,6539
5544,0.66,Ideal,D,VVS2,61.6,57.0,5.57,5.64,3.45,3103
21545,0.33,Ideal,D,SI1,62.8,55.0,4.45,4.41,2.78,780
22100,0.72,Very Good,E,SI2,59.9,57.0,5.85,5.9,3.52,2573
17596,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,3360
12551,0.42,Very Good,D,VS1,60.7,60.0,4.81,4.88,2.94,1066
3196,1.54,Premium,G,SI2,61.6,58.0,7.45,7.3,4.57,7287
22131,1.01,Premium,I,SI1,62.9,58.0,6.37,6.34,4.0,4242
26793,1.21,Ideal,E,SI1,62.1,56.0,6.83,6.88,4.26,7955
25030,0.72,Ideal,G,VS2,61.7,55.0,5.72,5.79,3.55,3344
9344,0.91,Premium,E,SI1,62.1,58.0,6.15,6.18,3.83,4332
20987,1.51,Fair,D,VS2,66.0,57.0,7.17,7.08,4.7,15152
23845,0.7,Premium,G,VS1,62.6,60.0,5.58,5.66,3.52,2512
26535,0.37,Premium,E,VS2,60.3,58.0,4.66,4.63,2.8,1041
12738,1.0,Very Good,E,SI1,63.3,57.0,6.3,6.36,4.01,5051
20000,0.7,Good,D,SI2,59.3,64.0,5.8,5.76,3.43,2312
10212,0.91,Premium,F,SI1,,59.0,6.21,6.17,3.82,4036
3995,0.38,Ideal,G,VS2,62.2,56.0,4.62,4.64,2.88,766
1054,2.02,Ideal,H,SI2,62.4,56.0,8.14,8.04,5.06,12680
5134,0.32,Ideal,H,VVS1,62.0,54.0,4.39,4.42,2.73,708
11383,0.47,Premium,H,VS1,60.3,61.0,5.05,5.04,3.04,1244
16318,0.32,Very Good,D,VS2,62.9,59.0,4.36,4.39,2.75,657
4250,0.24,Very Good,F,VVS2,60.6,59.0,4.04,4.06,2.45,608
25483,0.31,Premium,D,VS2,61.2,59.0,4.32,4.37,2.66,734
6913,1.01,Very Good,F,SI1,61.9,57.0,6.37,6.42,3.96,4619
10878,0.5,Very Good,G,SI1,60.6,56.0,5.13,5.16,3.12,1202
12467,0.54,Ideal,D,SI1,62.9,57.0,5.22,5.17,3.27,1786
17494,0.8,Ideal,G,SI2,62.2,56.0,5.95,5.91,3.69,2749
24634,1.14,Ideal,E,SI2,62.4,57.0,6.64,6.7,4.16,5473
24517,0.9,Very Good,I,VVS1,63.5,58.0,6.06,6.09,3.86,4161
25022,0.5,Ideal,E,SI1,61.2,56.0,5.12,5.15,3.14,1555
6313,0.74,Ideal,G,SI1,61.3,55.0,5.85,5.86,3.59,2852
13264,1.01,Good,H,SI2,63.7,55.0,6.37,6.32,4.04,4072
4540,0.42,Very Good,E,VS1,62.1,55.0,4.81,4.85,3.0,1105
5889,0.39,Ideal,E,VS2,60.4,56.0,4.73,4.7,2.85,985
1639,1.31,Premium,I,SI1,63.0,57.0,6.96,6.91,4.37,5869
3750,1.51,Very Good,J,SI1,60.6,57.0,7.38,7.46,4.5,7125
6920,0.79,Very Good,E,SI2,59.2,59.0,6.04,6.06,3.58,2941
26126,0.61,Very Good,H,VS2,63.3,57.5,5.38,5.4,3.41,1590
15048,0.6,Very Good,D,SI1,62.0,55.0,5.36,5.44,3.35,1777
544,0.38,Very Good,D,SI1,58.9,61.0,4.75,4.79,2.81,733
18465,0.56,Ideal,H,VS2,61.2,57.0,5.29,5.33,3.25,1388
6023,2.2,Ideal,J,VS2,61.6,57.0,8.34,8.39,5.15,15384
6763,0.72,Very Good,F,VVS2,59.2,63.0,5.77,5.86,3.44,3952
15298,0.75,Premium,G,SI1,60.4,58.0,5.88,5.84,3.54,2415
5654,0.38,Ideal,G,SI1,61.0,55.0,4.69,4.73,2.87,723
20550,1.32,Premium,H,SI2,59.4,54.0,7.21,7.09,4.25,4879
23931,0.31,Premium,H,VVS2,61.4,58.0,4.37,4.32,2.67,802
10930,0.91,Good,D,SI2,64.1,62.0,6.01,6.06,3.87,3408
18587,0.77,Very Good,G,VS2,58.3,63.0,6.0,6.05,3.51,2896
18778,0.32,Premium,H,VS2,60.6,58.0,4.47,4.44,2.7,648
11765,0.7,Very Good,D,SI2,60.9,60.0,5.68,5.72,3.47,1990
8374,1.53,Premium,G,VVS1,60.6,58.0,7.49,7.45,4.53,16601
11954,0.52,Ideal,D,SI2,62.5,56.0,5.12,5.08,3.19,1385
10073,0.4,Ideal,E,SI2,61.0,58.0,4.76,4.78,2.91,629
14082,1.21,Very Good,H,VS2,62.9,55.0,6.75,6.8,4.26,7426
21770,1.01,Good,G,VVS2,63.4,55.0,6.34,6.41,4.04,6843
8347,0.31,Very Good,D,VS2,61.6,55.0,4.37,4.4,2.7,692
14947,1.5,Premium,H,VS1,59.9,60.0,7.44,7.39,4.44,11189
18656,2.01,Premium,G,SI1,62.3,61.0,7.96,7.89,5.02,16242
17246,1.05,Good,E,I1,64.1,58.0,6.46,6.32,4.09,2066
14025,0.7,Very Good,I,SI1,62.8,59.0,5.63,5.67,3.55,1763
1949,1.0,Very Good,F,SI2,61.6,62.0,6.3,6.37,3.9,4255
2713,0.34,Ideal,G,VS2,61.8,56.0,4.52,4.48,2.78,765
26081,0.33,Ideal,G,VS1,62.9,57.0,4.43,4.38,2.77,854
19,0.9,Good,D,SI1,61.9,64.0,6.0,6.09,3.74,3567
2235,0.55,Ideal,E,VS2,61.4,56.0,5.32,5.26,3.25,1792
23217,0.51,Ideal,D,VS2,61.7,55.0,5.11,5.14,3.16,1787
18620,1.01,Very Good,D,VS2,62.2,61.0,6.37,6.43,3.98,6905
5672,0.81,Ideal,I,SI2,61.7,59.0,5.92,6.0,3.68,2386
8033,0.31,Premium,H,VS2,62.2,58.0,4.31,4.34,2.69,489
19378,1.07,Ideal,E,SI2,62.4,57.0,6.52,6.55,4.08,4613
18166,0.32,Premium,G,VVS1,61.9,58.0,4.39,4.36,2.71,1080
8649,1.03,Ideal,G,VS1,62.3,56.0,6.5,6.46,4.04,6864
20914,0.32,Ideal,F,VS2,61.4,57.0,4.4,4.43,2.71,660
19532,0.43,Very Good,G,VVS2,62.3,60.0,4.78,4.85,3.0,1056
23589,1.09,Ideal,H,SI1,62.4,55.0,6.68,6.59,4.14,4871
693,0.71,Good,D,SI1,63.1,56.0,5.68,5.73,3.6,2719
6404,1.01,Very Good,E,SI2,63.3,57.0,6.39,6.31,4.02,4270
13225,1.19,Premium,H,SI2,61.9,58.0,6.84,6.77,4.21,4332
15650,1.32,Very Good,J,VS2,62.1,57.0,7.01,7.04,4.36,6079
21323,1.14,Ideal,J,SI1,61.5,56.0,6.7,6.74,4.13,5174
11131,1.0,Premium,D,SI1,60.3,60.0,6.31,6.26,3.79,5645
2283,1.01,Premium,F,SI1,62.6,58.0,6.37,6.32,3.97,5202
24371,0.41,Ideal,F,VS2,61.8,56.0,4.8,4.78,2.96,1107
4449,0.23,Good,F,VVS1,58.1,52.0,4.03,4.1,2.36,458
15264,1.12,Premium,H,SI1,62.2,60.0,6.65,6.59,4.12,5363
3799,1.22,Ideal,F,VS2,61.5,57.0,6.87,6.91,4.24,8783
13317,0.31,Ideal,G,VVS1,61.8,55.0,4.35,4.39,2.7,743
14009,0.77,Ideal,G,VS2,61.7,55.0,5.87,5.9,3.63,3154
4153,0.33,Premium,I,VVS2,61.5,58.0,4.43,4.45,2.73,579
23317,0.33,Ideal,F,VS2,62.0,54.2,4.42,4.45,2.75,660
12410,0.37,Premium,F,SI1,,59.0,4.61,4.57,2.86,791
21696,0.52,Very Good,I,VS1,61.4,57.0,5.17,5.19,3.18,1282
21849,0.73,Ideal,F,VVS2,61.7,54.0,5.76,5.82,3.57,3524
18111,0.74,Premium,H,VS2,60.2,58.0,5.92,5.88,3.55,2553
21586,0.31,Ideal,E,VS2,61.8,54.0,4.34,4.37,2.69,680
7494,0.4,Premium,G,VVS2,61.7,59.0,4.76,4.73,2.93,1050
16301,2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,15076
362,1.51,Very Good,E,SI2,62.8,59.0,7.24,7.31,4.57,9058
12223,0.41,Ideal,F,VVS1,61.8,55.0,4.78,4.76,2.95,1356
23492,0.32,Premium,D,VVS1,62.0,60.0,4.4,4.37,2.72,973
19600,1.32,Good,E,SI1,63.7,56.0,6.96,6.88,4.41,6830
3514,0.43,Premium,G,IF,61.0,58.0,4.82,4.88,2.96,1433
